Band,Band Size,# Default,% Total Population,Band Precision,Cumulative Precision,Cumulative Recall,Cumulative F1-Score
"[370, 398)",9,7,0.0001,0.78,0.78,0.01,0.02
"[398, 426)",14,11,0.0003,0.79,0.78,0.02,0.04
"[426, 454)",37,25,0.0009,0.68,0.72,0.04,0.08
"[454, 482)",77,46,0.002,0.6,0.65,0.09,0.16
"[482, 510)",149,71,0.0042,0.48,0.56,0.17,0.26
"[510, 538)",277,72,0.0083,0.26,0.41,0.24,0.3
"[538, 566)",465,86,0.0152,0.18,0.31,0.33,0.32
"[566, 594)",1558,167,0.0383,0.11,0.19,0.5,0.28
"[594, 622)",28767,457,0.4646,0.02,0.03,0.98,0.06
"[622, 630]",36129,24,1.0,0.0,0.01,1.0,0.02
